project_id,lead_id,entry_id,af,excerpt,original_af_tags,entry_created,geoWidget,scaleWidget,matrix2dWidget,dateRangeWidget,matrix1dWidget,multiselectWidget,organigramWidget
3939,117299,756085,2341,They are among 60 firefighters from 14 UK fire services on UKISAR which has been treating injured people and searching for survivors trapped under collapsed buildings.,"{'geoWidget': [60875], 'scaleWidget': ['fairly reliable'], 'matrix2dWidget': ['cross', 'health', 'capacities & response->international actors', 'capacities & response->international actors'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 04:39:12.694543+00:00,[60875],['fairly reliable'],"[['cross', 'capacities & response->international actors'], ['health', 'capacities & response->international actors']]",['14-09-2023'],,,
3939,117300,756112,2341,"At least 2,900 people are known to have died.",{'matrix1dWidget': ['humanitarian profile->casualties']},2023-09-15 04:45:13.085845+00:00,,,,,['humanitarian profile->casualties'],,
3939,117300,756113,2341,The four technical firefighters provided support on the ground with the UK International Search and Rescue Team (UKISAR).,"{'geoWidget': [60875], 'scaleWidget': ['fairly reliable'], 'matrix2dWidget': ['cross', 'capacities & response->international actors'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 04:45:13.150206+00:00,[60875],['fairly reliable'],"[['cross', 'capacities & response->international actors']]",['14-09-2023'],,,
3939,117305,756126,2341,"Morocco has been criticised for accepting only a few offers to help, despite many offers by the international community. An offer of help was extended by Algeria, whose people have shown an outpouring of support despite a diplomatic chill between the countries.","{'geoWidget': [60875], 'scaleWidget': ['fairly reliable'], 'matrix1dWidget': ['context->politics'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 04:57:12.867669+00:00,[60875],['fairly reliable'],,['14-09-2023'],['context->politics'],,
3939,117306,756189,2341,"Mohamed V Foundation, a national Moroccan association recognised as a public organisation, has set up a system for collecting aid for victims by establishing three warehouses in Marrakech and Taroudant.","{'matrix2dWidget': ['cross', 'capacities & response->government and local authorities']}",2023-09-15 05:21:12.925890+00:00,,,"[['cross', 'capacities & response->government and local authorities']]",,,,
3939,117306,756200,2341,All international airports and ports are functional and in operation. A Logistics Capacity Assessment (LCA) has been published on the Logistics Cluster website.,"{'matrix2dWidget': ['logistics', 'capacities & response->system functionality']}",2023-09-15 05:21:12.991132+00:00,,,"[['logistics', 'capacities & response->system functionality']]",,,,
3939,117306,756155,2341,"Current needs include WASH, shelter, health, and food assistance in addition to rescue and rubble removal equipment’s, medical kits, and kitchen sets.","{'matrix2dWidget': ['food', 'shelter', 'wash', 'protection', 'humanitarian conditions->humanitarian conditions', 'humanitarian conditions->humanitarian conditions', 'humanitarian conditions->humanitarian conditions', 'humanitarian conditions->humanitarian conditions']}",2023-09-15 05:03:13.405523+00:00,,,"[['food', 'humanitarian conditions->humanitarian conditions'], ['shelter', 'humanitarian conditions->humanitarian conditions'], ['wash', 'humanitarian conditions->humanitarian conditions'], ['protection', 'humanitarian conditions->humanitarian conditions']]",,,,
3939,117306,756136,2341,"The overall number of people affected remains at 381,000, and deaths reached over 2,800 (Moroccan Ministry of Interior, 12 September 2023). Most of the casualties occurred in Al Haouz (the epicentre), and Taroudant provinces.","{'matrix1dWidget': ['humanitarian profile->casualties'], 'matrix2dWidget': ['cross', 'humanitarian conditions->humanitarian conditions']}",2023-09-15 05:03:12.880066+00:00,,,"[['cross', 'humanitarian conditions->humanitarian conditions']]",,['humanitarian profile->casualties'],,
3939,117306,756173,2341,"Restricted access to earthquake affected areas. Partners have reported that the access to mountains access is difficult. The Government is leading ongoing efforts for road clearance and locations which were initially not accessible by car/trucks before the earthquake are the ones remaining difficult to access. Alternative solutions, including the use of mules, quad bikes and light all-terrain vehicles are used by local NGOs.","{'matrix1dWidget': ['humanitarian access->physical constraints'], 'matrix2dWidget': ['logistics', 'logistics', 'capacities & response->government and local authorities', 'humanitarian conditions->coping mechanisms']}",2023-09-15 05:12:12.891754+00:00,,,"[['logistics', 'capacities & response->government and local authorities'], ['logistics', 'humanitarian conditions->coping mechanisms']]",,['humanitarian access->physical constraints'],,
3939,117306,756174,2341,The Government of Morocco has not yet issued request for international assistance (other than accepting bilateral assistance from specific Governments). Local NGOs and civil society solidarity movements are the main partners.,{'matrix1dWidget': ['humanitarian access->relief to beneficiaries']},2023-09-15 05:12:12.914713+00:00,,,,,['humanitarian access->relief to beneficiaries'],,
3939,117306,756187,2341,"Restricted access to earthquake affected areas. Partners have reported that the access to mountains access is difficult. The Government is leading ongoing efforts for road clearance and locations which were initially not accessible by car/trucks before the earthquake are the ones remaining difficult to access. Alternative solutions, including the use of mules, quad bikes and light all-terrain vehicles are used by local NGOs.","{'matrix1dWidget': ['humanitarian access->relief to beneficiaries'], 'matrix2dWidget': ['logistics', 'logistics', 'capacities & response->government and local authorities', 'capacities & response->national actors']}",2023-09-15 05:18:12.393572+00:00,,,"[['logistics', 'capacities & response->government and local authorities'], ['logistics', 'capacities & response->national actors']]",,['humanitarian access->relief to beneficiaries'],,
3939,117306,756214,2341,"ECHO offered airlift support through the Humanitarian Logistics Cooperative (HULO) and the UN Humanitarian Response Depot (UNHRD). ECHO has available stocks - winterised tents & kit - in UNHRD, offering to the community if registered organisations have authorization to deliver in country.","{'matrix2dWidget': ['logistics', 'shelter', 'capacities & response->international actors', 'capacities & response->international actors']}",2023-09-15 05:30:12.999412+00:00,,,"[['logistics', 'capacities & response->international actors'], ['shelter', 'capacities & response->international actors']]",,,,
3939,117306,756216,2341,Human Appeal has a local partner already established and now operational to support with shelter and non-food items.,"{'matrix2dWidget': ['cross', 'shelter', 'capacities & response->international actors', 'capacities & response->international actors']}",2023-09-15 05:33:12.504996+00:00,,,"[['cross', 'capacities & response->international actors'], ['shelter', 'capacities & response->international actors']]",,,,
3939,117306,756221,2341,Malteser International is supporting the Order of Malta Embassy response in collaboration with local organisations (focus on shelter).,"{'matrix2dWidget': ['shelter', 'capacities & response->international actors']}",2023-09-15 05:33:12.590395+00:00,,,"[['shelter', 'capacities & response->international actors']]",,,,
3939,117306,756247,2341,"Polish Humanitarian Action (PAH) has emergency team on ground in Marrakech. Local partners started first distribution of NFI kits today. Several organisations are starting to deploy teams on the ground, including the International Federation of Red Cross (IFRC).","{'matrix2dWidget': ['cross', 'capacities & response->national actors']}",2023-09-15 05:39:13.725632+00:00,,,"[['cross', 'capacities & response->national actors']]",,,,
3939,117307,761266,2341,"Literacy remains the most important barrier to accessing media. More than 70% of the population has no or very low education and consequently cannot access written content in Arabic. Public service television and radio stations, as well as printed and online media, mainly use standard Arabic, which is not understood by all Moroccans. Private radio stations and online media tend to relay content in a language somewhere between modern standard Arabic and Darija that is accessible to their listeners. As part of its public services mission, the national broadcasting company has dedicated a national TV and radio station to Amazigh programmes.","{'geoWidget': [60875, 60909], 'scaleWidget': ['fairly reliable'], 'matrix1dWidget': ['information->information challenges'], 'dateRangeWidget': ['12-09-2023']}",2023-09-22 06:30:13.213810+00:00,"[60875, 60909]",['fairly reliable'],,['12-09-2023'],['information->information challenges'],,
3939,117307,761237,2341,"A 6.8 magnitude earthquake hit Morocco’s High Atlas mountain range on 8 September 2023, causing devastating loss of life and damage. As of 10 September, more than 2,000 people have been killed, with a further 2,421 people reported injured while search and rescue efforts continue. Government authorities are leading response efforts, with national response mechanisms and civil protection units deployed to provide critical assistance.","{'geoWidget': [60875, 60883], 'matrix1dWidget': ['humanitarian profile->casualties', 'event/shock->shock/driver'], 'matrix2dWidget': ['cross', 'capacities & response->government and local authorities'], 'dateRangeWidget': ['08-09-2023', '10-09-2023']}",2023-09-22 06:24:12.464911+00:00,"[60875, 60883]",,"[['cross', 'capacities & response->government and local authorities']]","['08-09-2023', '10-09-2023']","['humanitarian profile->casualties', 'event/shock->shock/driver']",,
3939,117307,761246,2341,"As the first to respond, affected people need focused, accurate information in their main language on how to stay safe and make critical decisions that impact their survival, coping, reunification and recovery. Early reports from Morocco indicate that people do not have enough information on how to access relief and shelter – with many resorting to sleeping in the streets. Research from other crises shows that people want actionable information from sources they trust. During a past crisis in Morocco, local NGOs, human rights organisations and local press correspondents were often cited as the main sources of trusted information.","{'geoWidget': [60875, 60909], 'scaleWidget': ['fairly reliable'], 'matrix1dWidget': ['information->information needs & gaps'], 'matrix2dWidget': ['cross', 'humanitarian conditions->humanitarian conditions'], 'dateRangeWidget': ['12-09-2023']}",2023-09-22 06:27:12.598399+00:00,"[60875, 60909]",['fairly reliable'],"[['cross', 'humanitarian conditions->humanitarian conditions']]",['12-09-2023'],['information->information needs & gaps'],,
3939,117307,761274,2341,"Moroccans prefer to consume information via television, especially older people and those living in rural areas. Most of the Moroccan population, even in rural areas, has access to a television, and 84% of households are also equipped with satellite dishes to access international programmes. There is an increasing reliance on social media for receiving breaking news, seen particularly during the COVID-19 pandemic, with 36% of Moroccans indicating that they use social media as their primary source for breaking news. In 2021 the top social media sites by users in Morocco were: Facebook: 66%; YouTube: 25%; X (Twitter): 3%; and Instagram: 3%. More than 90% of internet users in Morocco used social media in 2019, with preference higher among younger people and those with higher levels of education. Internet penetration generally stands at 74%, with internet connectivity lower in rural and mountainous areas, such as the High Atlas mountains.","{'geoWidget': [60875, 60909], 'scaleWidget': ['fairly reliable'], 'matrix1dWidget': ['information->communication means & channels'], 'matrix2dWidget': ['logistics', 'humanitarian conditions->living standards'], 'dateRangeWidget': ['12-09-2023']}",2023-09-22 06:33:11.967101+00:00,"[60875, 60909]",['fairly reliable'],"[['logistics', 'humanitarian conditions->living standards']]",['12-09-2023'],['information->communication means & channels'],,
3939,117307,761275,2341,"In the first days and weeks after an earthquake when people are most fearful, rumours can quickly circulate about aftershocks, evacuations and relief efforts. Some media outlets have already reported a flurry of misinformation, fake images and videos about the earthquake and the response surfacing on social media.6 Rumours can create undue suffering, raise expectations and provoke unsafe behaviour. Getting clear, upto-date and verified information to affected people in the languages they understand best is critical to stop harmful rumours in their tracks.",{'matrix1dWidget': ['information->information needs & gaps']},2023-09-22 06:33:11.992430+00:00,,,,,['information->information needs & gaps'],,
3939,117308,756137,2341,"Despite the difficulties, Caritas Morocco continues to provide aid to the population in the town of Amizmiz, one of the areas most affected by the earthquake, and in some villages in the surrounding mountainous area. People are receiving basic necessities such as generators, food, clean water, clothing and medicine.","{'geoWidget': [60913, 60875], 'scaleWidget': ['fairly reliable'], 'matrix2dWidget': ['food', 'health', 'wash', 'logistics', 'capacities & response->national actors', 'capacities & response->national actors', 'capacities & response->national actors', 'capacities & response->national actors'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 05:03:13.153270+00:00,"[60913, 60875]",['fairly reliable'],"[['food', 'capacities & response->national actors'], ['health', 'capacities & response->national actors'], ['wash', 'capacities & response->national actors'], ['logistics', 'capacities & response->national actors']]",['14-09-2023'],,,
3939,117308,756120,2341,"Regarding the humanitarian response in Morocco, the Cardinal highlights the dispersion of the population in need of aid. “These are small but numerous populations and over a vast expanse of territory, in mountainous areas that were already difficult to reach and which, with the destruction of roads and the additional difficulties caused by the earthquake itself, even, are even more difficult to reach,” says Cardinal López Romero.","{'geoWidget': [60875], 'scaleWidget': ['fairly reliable'], 'matrix1dWidget': ['humanitarian access->physical constraints'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 04:51:12.536609+00:00,[60875],['fairly reliable'],,['14-09-2023'],['humanitarian access->physical constraints'],,
3939,117308,756177,2341,"Another impasse is the need to coordinate aid on the ground. “On the one hand, there is the government, the Moroccan state, which provided the army, companies like the phosphate company, transport trucks, ambulances, etc. On the other hand, there are the forces of the countries that have been authorized to contribute to the response,” explains Cardinal López Romero.","{'geoWidget': [60875], 'scaleWidget': ['fairly reliable'], 'matrix2dWidget': ['cross', 'logistics', 'health', 'cross', 'health', 'logistics', 'capacities & response->government and local authorities', 'capacities & response->government and local authorities', 'capacities & response->government and local authorities', 'capacities & response->national actors', 'capacities & response->national actors', 'capacities & response->national actors'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 05:15:13.609122+00:00,[60875],['fairly reliable'],"[['cross', 'capacities & response->government and local authorities'], ['logistics', 'capacities & response->government and local authorities'], ['health', 'capacities & response->government and local authorities'], ['cross', 'capacities & response->national actors'], ['health', 'capacities & response->national actors'], ['logistics', 'capacities & response->national actors']]",['14-09-2023'],,,
3939,117392,756841,2341,"In partnership with the Mohamed V Foundation for Solidarity, the El Baraka Angels association as well as other associations, Centrale Danone is providing 1 million units composed of milk, cheese and dairy products, ready to be transported to the areas most affected by the earthquake. This contribution aims to meet the immediate food needs of affected families.","{'geoWidget': [60875], 'scaleWidget': ['fairly reliable'], 'matrix2dWidget': ['food', 'capacities & response->national actors'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 09:54:12.418750+00:00,[60875],['fairly reliable'],"[['food', 'capacities & response->national actors']]",['14-09-2023'],,,
3939,117392,756852,2341,"In addition, Centrale Danone employees are contributing the equivalent of one day of work to the special Trust Fund 126 dedicated to managing the consequences of the earthquake. Likewise, an equivalent amount of the employees' contribution will be paid by Centrale Danone to the Fund. “Centrale Danone is committed to actively continuing its support for national solidarity efforts to provide assistance to the affected families of Al Haouz, during this phase as well as in the reconstruction phase, in coordination with the authorities and partner associations,” concludes the same press release.","{'geoWidget': [60875, 60883], 'scaleWidget': ['fairly reliable'], 'matrix2dWidget': ['cross', 'capacities & response->national actors'], 'dateRangeWidget': ['14-09-2023']}",2023-09-15 09:57:12.632684+00:00,"[60875, 60883]",['fairly reliable'],"[['cross', 'capacities & response->national actors']]",['14-09-2023'],,,
